id,Jenis Penyakit,Provinsi,Jenis - Kelamin,Jumlah Kasus,Populasi,Tanggal,medium
1,Dengue,Jawa Barat,Female,12,17340743,11/27/2022,Gigitan Serangga
2,Dengue,Jawa Barat,Male,14,17174034,10/3/2023,Gigitan Serangga
3,Dengue,Jawa Barat,Female,4,17783924,9/18/2021,Gigitan Serangga
4,Dengue,Jawa Barat,Female,1,17969405,12/8/2019,Gigitan Serangga
5,Dengue,Jawa Barat,Female,6,18088355,12/4/2020,Gigitan Serangga
6,Dengue,Jawa Barat,Male,5,17899282,10/8/2024,Gigitan Serangga
7,Dengue,Jawa Barat,Female,4,18220429,10/20/2021,Gigitan Serangga
8,Dengue,Jawa Barat,Male,5,18028441,10/23/2018,Gigitan Serangga
9,Dengue,Jawa Barat,Female,4,18373955,11/14/2020,Gigitan Serangga
10,Dengue,Jawa Barat,Male,6,18180620,12/11/2018,Gigitan Serangga
11,Dengue,Jawa Barat,Female,5,18526603,12/21/2019,Gigitan Serangga
12,Dengue,Jawa Barat,Male,3,18331667,10/12/2018,Gigitan Serangga
13,Dengue,Jawa Barat,Female,15,18634031,10/8/2020,Gigitan Serangga
14,Dengue,Jawa Barat,Male,16,18445222,12/2/2023,Gigitan Serangga
15,Dengue,Jawa Barat,Female,40,18752748,9/30/2023,Gigitan Serangga
16,Dengue,Jawa Barat,Male,37,18558691,11/19/2021,Gigitan Serangga
17,Dengue,Jawa Barat,Female,23,18881056,12/24/2021,Gigitan Serangga
18,Dengue,Jawa Barat,Male,18,18691131,9/29/2024,Gigitan Serangga
19,Dengue,Jawa Barat,Female,42,19028077,10/23/2020,Gigitan Serangga
20,Dengue,Jawa Barat,Male,45,18841496,9/19/2022,Gigitan Serangga
21,Dengue,Jawa Barat,Female,54,19177344,10/19/2019,Gigitan Serangga
22,Dengue,Jawa Barat,Male,71,18988773,11/30/2021,Gigitan Serangga
23,Dengue,Jawa Barat,Female,63,19346905,9/21/2020,Gigitan Serangga
24,Dengue,Jawa Barat,Male,63,19154588,9/6/2021,Gigitan Serangga
25,Dengue,Jawa Barat,Male,2,719209,12/17/2021,Gigitan Serangga
26,Dengue,Jawa Timur,Male,1,720721,11/25/2024,Gigitan Serangga
27,Dengue,Bali,Female,1,746959,11/18/2018,Gigitan Serangga
28,Dengue,Kalimantan Tengah,Female,2,746698,9/21/2021,Gigitan Serangga
29,Dengue,Sulawesi Selatan,Female,2,784429,12/19/2022,Gigitan Serangga
30,Dengue,Sulawesi Tenggara,Male,9,755231,10/23/2021,Gigitan Serangga
31,Dengue,Gorontalo,Female,7,797654,12/26/2019,Gigitan Serangga
32,Dengue,Sulawesi Barat,Male,11,766363,11/25/2024,Gigitan Serangga
33,Dengue,DKI Jakarta,Female,1,16358,10/18/2021,Gigitan Serangga
34,Dengue,Sulawesi Barat,Male,1,109868,10/8/2018,Gigitan Serangga
35,Dengue,Maluku,Female,1,112637,9/13/2019,Gigitan Serangga
36,Dengue,DI Yogyakarta,Male,1,492997,10/5/2023,Gigitan Serangga
37,Dengue,Banten,Female,1,522750,9/19/2018,Gigitan Serangga
38,Dengue,Kalimantan Tengah,Male,1,509624,12/15/2022,Gigitan Serangga
39,Dengue,Sulawesi Tengah,Female,1,547638,12/27/2024,Gigitan Serangga
40,Dengue,Sulawesi Selatan,Male,3,521520,11/11/2022,Gigitan Serangga
41,Dengue,Sulawesi Tenggara,Female,1,554275,9/1/2023,Gigitan Serangga
42,Dengue,Gorontalo,Male,2,527673,12/28/2019,Gigitan Serangga
43,Dengue,Maluku,Male,3,534708,12/31/2019,Gigitan Serangga
44,Dengue,Kalimantan Selatan,Male,1,461948,10/26/2018,Gigitan Serangga
45,Dengue,Kalimantan Timur,Male,1,469484,11/7/2024,Gigitan Serangga
46,Dengue,Kalimantan Utara,Female,1,474300,12/16/2019,Gigitan Serangga
47,Dengue,Sulawesi Tengah,Female,3,478477,9/21/2024,Gigitan Serangga
48,Dengue,Sulawesi Selatan,Male,1,483796,12/17/2024,Gigitan Serangga
49,Dengue,Kalimantan Tengah,Female,1,86154,10/28/2024,Gigitan Serangga
50,Dengue,Bengkulu,Male,1,428435,10/20/2020,Gigitan Serangga
